lat,lon,depth,starttime,energy,duration 
 42.771504218037435, -123.53124607138241, 20.0, 2025-11-28 01:05:00, 229685.86711184177, 300.0 
 42.79866000659906, -123.51259562789, 20.0, 2025-11-28 01:07:30, 146388.30413591387, 150.0 
 42.76442072234303, -123.52091628128811, 20.0, 2025-11-28 01:10:00, 101603.91887291321, 150.0 
 42.76442072234303, -123.52091628128811, 20.0, 2025-11-28 01:12:30, 93527.08451374952, 150.0 
 42.75830387931779, -123.6117092971053, 20.0, 2025-11-28 01:15:00, 96282.89081259476, 150.0 
 42.7695953737465, -123.6022915389483, 20.0, 2025-11-28 01:17:30, 56650.45616065258, 150.0 
 42.80363598936204, -123.54000412250302, 20.0, 2025-11-28 01:25:00, 225162.39694238547, 300.0 
 42.73502539407077, -123.37729245002203, 20.0, 2025-11-28 01:30:00, 109941.94798859941, 300.0 
 42.744017225514824, -123.3115949230311, 60.0, 2025-11-28 01:32:30, 42235.692867780315, 150.0 
 